5.5987 	EXP 	grating: autoDraw = True
5.6155 	EXP 	fixation: autoDraw = False
5.8988 	EXP 	grating: autoDraw = False
6.0170 	DATA 	Keypress: right
6.0320 	EXP 	fixation: autoDraw = False
6.0320 	EXP 	grating: autoDraw = False
6.0320 	EXP 	grating: ori = -7.0
6.0320 	EXP 	fixation: autoDraw = True
6.5165 	INFO 	Keyboard events cleared
6.5160 	EXP 	grating: autoDraw = True
6.5325 	EXP 	fixation: autoDraw = False
6.8155 	EXP 	grating: autoDraw = False
6.9169 	DATA 	Keypress: left
6.9319 	EXP 	fixation: autoDraw = False
6.9319 	EXP 	grating: autoDraw = False
6.9319 	EXP 	grating: ori = -7.0
6.9319 	EXP 	fixation: autoDraw = True
7.4157 	INFO 	Keyboard events cleared
7.4153 	EXP 	grating: autoDraw = True
7.4320 	EXP 	fixation: autoDraw = False
7.7153 	EXP 	grating: autoDraw = False
7.7669 	DATA 	Keypress: left
7.7819 	EXP 	fixation: autoDraw = False
7.7819 	EXP 	grating: autoDraw = False
7.7819 	EXP 	grating: ori = -6.0
7.7819 	EXP 	fixation: autoDraw = True
8.2667 	INFO 	Keyboard events cleared
8.2661 	EXP 	grating: autoDraw = True
8.2823 	EXP 	fixation: autoDraw = False
8.5651 	EXP 	grating: autoDraw = False
8.6002 	DATA 	Keypress: left
8.6151 	EXP 	fixation: autoDraw = False
8.6151 	EXP 	grating: autoDraw = False
8.6151 	EXP 	grating: ori = -6.0
8.6151 	EXP 	fixation: autoDraw = True
9.0988 	INFO 	Keyboard events cleared
9.0985 	EXP 	grating: autoDraw = True
9.1152 	EXP 	fixation: autoDraw = False
9.3984 	EXP 	grating: autoDraw = False
9.4833 	DATA 	Keypress: left
9.4984 	EXP 	fixation: autoDraw = False
9.4984 	EXP 	grating: autoDraw = False
9.4984 	EXP 	grating: ori = 6.0
9.4984 	EXP 	fixation: autoDraw = True
9.9824 	INFO 	Keyboard events cleared
9.9821 	EXP 	grating: autoDraw = True
9.9985 	EXP 	fixation: autoDraw = False
10.2817 	EXP 	grating: autoDraw = False
10.3671 	DATA 	Keypress: right
10.3819 	EXP 	fixation: autoDraw = False
10.3819 	EXP 	grating: autoDraw = False
10.3819 	EXP 	grating: ori = -5.0
10.3819 	EXP 	fixation: autoDraw = True
10.8821 	INFO 	Keyboard events cleared
10.8818 	EXP 	fixation: autoDraw = False
10.8818 	EXP 	grating: autoDraw = True
11.0852 	DATA 	Keypress: left
11.0988 	EXP 	fixation: autoDraw = False
11.0988 	EXP 	grating: autoDraw = False
11.0988 	EXP 	grating: ori = 5.0
11.0988 	EXP 	fixation: autoDraw = True
11.4663 	DATA 	Keypress: right
11.5988 	INFO 	Keyboard events cleared
11.5985 	EXP 	fixation: autoDraw = False
11.5985 	EXP 	grating: autoDraw = True
11.8501 	DATA 	Keypress: left
11.8650 	EXP 	fixation: autoDraw = False
11.8650 	EXP 	grating: autoDraw = False
11.8650 	EXP 	grating: ori = 5.5
11.8650 	EXP 	fixation: autoDraw = True
12.2530 	DATA 	Keypress: left
12.3496 	INFO 	Keyboard events cleared
12.3491 	EXP 	grating: autoDraw = True
12.3659 	EXP 	fixation: autoDraw = False
12.6483 	EXP 	grating: autoDraw = False
12.7998 	DATA 	Keypress: right
12.8149 	EXP 	fixation: autoDraw = False
12.8149 	EXP 	grating: autoDraw = False
12.8149 	EXP 	grating: ori = 5.5
12.8149 	EXP 	fixation: autoDraw = True
13.2995 	INFO 	Keyboard events cleared
13.2989 	EXP 	grating: autoDraw = True
13.3153 	EXP 	fixation: autoDraw = False
13.5984 	EXP 	grating: autoDraw = False
13.6332 	DATA 	Keypress: left
13.6481 	EXP 	fixation: autoDraw = False
13.6481 	EXP 	grating: autoDraw = False
13.6481 	EXP 	grating: ori = 6.0
13.6481 	EXP 	fixation: autoDraw = True
14.1320 	INFO 	Keyboard events cleared
14.1316 	EXP 	grating: autoDraw = True
14.1482 	EXP 	fixation: autoDraw = False
14.3833 	DATA 	Keypress: left
14.3982 	EXP 	fixation: autoDraw = False
14.3982 	EXP 	grating: autoDraw = False
14.3982 	EXP 	grating: ori = -6.5
14.3982 	EXP 	fixation: autoDraw = True
14.8819 	INFO 	Keyboard events cleared
14.8816 	EXP 	grating: autoDraw = True
14.8982 	EXP 	fixation: autoDraw = False
15.1668 	DATA 	Keypress: right
15.1813 	EXP 	grating: autoDraw = False
15.1813 	EXP 	fixation: autoDraw = False
15.1813 	EXP 	grating: autoDraw = False
15.1813 	EXP 	grating: ori = 7.0
15.1813 	EXP 	fixation: autoDraw = True
15.6652 	INFO 	Keyboard events cleared
15.6649 	EXP 	grating: autoDraw = True
15.6815 	EXP 	fixation: autoDraw = False
15.9647 	EXP 	grating: autoDraw = False
15.9997 	DATA 	Keypress: right
16.0148 	EXP 	fixation: autoDraw = False
16.0148 	EXP 	grating: autoDraw = False
16.0148 	EXP 	grating: ori = -7.0
16.0148 	EXP 	fixation: autoDraw = True
16.4985 	INFO 	Keyboard events cleared
16.4982 	EXP 	grating: autoDraw = True
16.5148 	EXP 	fixation: autoDraw = False
16.7833 	DATA 	Keypress: left
16.7981 	EXP 	grating: autoDraw = False
16.7981 	EXP 	fixation: autoDraw = False
16.7981 	EXP 	grating: autoDraw = False
16.7981 	EXP 	grating: ori = 7.0
16.7981 	EXP 	fixation: autoDraw = True
17.2984 	INFO 	Keyboard events cleared
17.2980 	EXP 	fixation: autoDraw = False
17.2980 	EXP 	grating: autoDraw = True
17.5980 	EXP 	grating: autoDraw = False
17.7524 	DATA 	Keypress: right
17.7658 	EXP 	fixation: autoDraw = False
17.7658 	EXP 	grating: autoDraw = False
17.7658 	EXP 	grating: ori = -6.5
17.7658 	EXP 	fixation: autoDraw = True
18.2652 	INFO 	Keyboard events cleared
18.2648 	EXP 	grating: autoDraw = True
18.2813 	EXP 	fixation: autoDraw = False
18.5646 	EXP 	grating: autoDraw = False
18.7162 	DATA 	Keypress: left
18.7312 	EXP 	fixation: autoDraw = False
18.7312 	EXP 	grating: autoDraw = False
18.7312 	EXP 	grating: ori = -6.5
18.7312 	EXP 	fixation: autoDraw = True
19.2150 	INFO 	Keyboard events cleared
19.2147 	EXP 	grating: autoDraw = True
19.2312 	EXP 	fixation: autoDraw = False
19.4996 	DATA 	Keypress: right
19.5145 	EXP 	grating: autoDraw = False
19.5145 	EXP 	fixation: autoDraw = False
19.5145 	EXP 	grating: autoDraw = False
19.5145 	EXP 	grating: ori = -7.0
19.5145 	EXP 	fixation: autoDraw = True
20.0148 	INFO 	Keyboard events cleared
20.0145 	EXP 	fixation: autoDraw = False
20.0145 	EXP 	grating: autoDraw = True
20.3144 	EXP 	grating: autoDraw = False
20.3329 	DATA 	Keypress: right
20.3477 	EXP 	fixation: autoDraw = False
20.3477 	EXP 	grating: autoDraw = False
20.3477 	EXP 	grating: ori = -7.5
20.3477 	EXP 	fixation: autoDraw = True
20.8342 	INFO 	Keyboard events cleared
20.8332 	EXP 	grating: autoDraw = True
20.8483 	EXP 	fixation: autoDraw = False
21.1477 	EXP 	grating: autoDraw = False
21.3495 	DATA 	Keypress: left
21.3644 	EXP 	fixation: autoDraw = False
21.3644 	EXP 	grating: autoDraw = False
21.3644 	EXP 	grating: ori = -7.5
21.3644 	EXP 	fixation: autoDraw = True
21.8481 	INFO 	Keyboard events cleared
21.8478 	EXP 	grating: autoDraw = True
21.8645 	EXP 	fixation: autoDraw = False
22.1477 	EXP 	grating: autoDraw = False
22.2025 	DATA 	Keypress: right
22.2149 	EXP 	fixation: autoDraw = False
22.2149 	EXP 	grating: autoDraw = False
22.2149 	EXP 	grating: ori = 8.0
22.2149 	EXP 	fixation: autoDraw = True
22.7147 	INFO 	Keyboard events cleared
22.7144 	EXP 	fixation: autoDraw = False
22.7144 	EXP 	grating: autoDraw = True
22.9993 	DATA 	Keypress: left
23.0144 	EXP 	grating: autoDraw = False
23.0144 	EXP 	fixation: autoDraw = False
23.0144 	EXP 	grating: autoDraw = False
23.0144 	EXP 	grating: ori = 8.5
23.0144 	EXP 	fixation: autoDraw = True
23.4990 	INFO 	Keyboard events cleared
23.4985 	EXP 	grating: autoDraw = True
23.5150 	EXP 	fixation: autoDraw = False
23.7981 	EXP 	grating: autoDraw = False
23.9326 	DATA 	Keypress: left
23.9475 	EXP 	fixation: autoDraw = False
23.9475 	EXP 	grating: autoDraw = False
23.9475 	EXP 	grating: ori = -9.0
23.9475 	EXP 	fixation: autoDraw = True
24.4313 	INFO 	Keyboard events cleared
24.4310 	EXP 	grating: autoDraw = True
24.4476 	EXP 	fixation: autoDraw = False
24.7309 	EXP 	grating: autoDraw = False
24.8657 	DATA 	Keypress: left
24.8809 	EXP 	fixation: autoDraw = False
24.8809 	EXP 	grating: autoDraw = False
24.8809 	EXP 	grating: ori = 9.0
24.8809 	EXP 	fixation: autoDraw = True
25.3646 	INFO 	Keyboard events cleared
25.3642 	EXP 	grating: autoDraw = True
25.3809 	EXP 	fixation: autoDraw = False
25.6325 	DATA 	Keypress: right
25.6475 	EXP 	fixation: autoDraw = False
25.6475 	EXP 	grating: autoDraw = False
25.6475 	EXP 	grating: ori = -9.0
25.6475 	EXP 	fixation: autoDraw = True
26.1311 	INFO 	Keyboard events cleared
26.1308 	EXP 	grating: autoDraw = True
26.1475 	EXP 	fixation: autoDraw = False
26.4308 	EXP 	grating: autoDraw = False
26.4490 	DATA 	Keypress: right
26.4641 	EXP 	fixation: autoDraw = False
26.4641 	EXP 	grating: autoDraw = False
26.4641 	EXP 	grating: ori = -9.5
26.4641 	EXP 	fixation: autoDraw = True
26.9478 	INFO 	Keyboard events cleared
